ever_grasped,n_grasp_events,collided,collided_before_grasp,min_xy_err,min_tilt_deg,max_depth,success,steps
False,0,False,False,0.22541902785664913,0.0021636165584551117,0.0,False,400
False,0,False,False,0.1113578779491293,0.004422060744988557,0.0,False,400
False,0,False,False,0.2616136076334469,0.007531038807405092,0.0,False,400
False,0,False,False,0.14123946731138018,0.0056384193504063285,0.0,False,400
False,0,False,False,0.06785069824734224,0.0022172720214743745,0.0,False,400
False,0,False,False,0.13895007431766135,0.007750791062045629,0.0,False,400
False,0,False,False,0.3363604143576841,0.0023823676634320353,0.0,False,400
False,0,False,False,0.24529847372268154,0.004352663149627201,0.0,False,400
False,0,False,False,0.0666764615461541,0.011038165504553131,0.0,False,400
False,0,False,False,0.18719908825018766,0.00528277588844459,0.0,False,400
False,0,False,False,0.11599838470391828,0.014065676642247964,0.0,False,400
False,0,False,False,0.30475017015656036,0.003782241344183083,0.0,False,400
False,0,False,False,0.11241428087703784,0.001038394102619629,0.0,False,400
False,0,False,False,0.1923942789606813,0.006521032012465658,0.0,False,400
False,0,False,False,0.060366734913851326,0.0052652044960851225,0.0,False,400
False,0,False,False,0.07247801274815878,0.011182735058371697,0.0,False,400
False,0,False,False,0.25677170289496914,0.006354333210766589,0.0,False,400
False,0,False,False,0.3137250276676573,0.005957044697263556,0.0,False,400
False,0,False,False,0.0032608750954414623,0.010727965699649976,0.06006847174957574,True,10
False,0,False,False,0.13916983133758165,0.004744422611803913,0.0,False,400
False,0,False,False,0.14907768967973492,0.0055958986752022615,0.0,False,400
False,0,False,False,0.15799843180000062,0.00498881471840744,0.0,False,400
False,0,False,False,0.39295695005830156,0.007978720565575668,0.0,False,400
False,0,False,False,0.0562565394882337,0.00794631323241209,0.0,False,400
False,0,False,False,0.2820374556947535,0.006832594684600496,0.0,False,400
False,0,False,False,0.06802358566130944,0.003943794788390309,0.0,False,400
False,0,False,False,0.10230044748460858,0.0013185853334771115,0.0,False,400
False,0,False,False,0.2225892022797296,0.008066744614152431,0.0,False,400
False,0,False,False,0.4199283307084214,0.003961025025998311,0.0,False,400
False,0,False,False,0.29851966231457405,0.006519570252232934,0.0,False,400
False,0,False,False,0.12467254650445003,0.005091444691531954,0.0,False,400
False,0,False,False,0.16201916872781244,0.003523299578861874,0.0,False,400
False,0,False,False,0.1422773817327152,0.004154564239643929,0.0,False,400
False,0,False,False,0.17163111436769862,0.004040980748450281,0.0,False,400
False,0,False,False,0.0762605747697178,0.0029220719545600834,0.0,False,400
False,0,False,False,0.3571428925068062,0.0012655330408183935,0.0,False,400
False,0,False,False,0.2633938943846277,0.008228655173163743,0.0,False,400
False,0,False,False,0.21890504169246414,0.007554010085374976,0.0,False,400
False,0,False,False,0.16570986528228804,0.007535301105101674,0.0,False,400
False,0,False,False,0.11723542765693998,0.004061369288979192,0.0,False,400
False,0,False,False,0.33782839892190647,0.010079826071407212,0.0,False,400
False,0,False,False,0.28727708944165664,0.009692154265118245,0.0,False,400
False,0,False,False,0.06954166395471761,0.006305757031209876,0.0,False,400
False,0,False,False,0.12642010427706513,0.0034137587020845314,0.0,False,400
False,0,False,False,0.3208438791556353,0.006254769451434662,0.0,False,400
False,0,False,False,0.09823032004220089,0.00788039116328631,0.0,False,400
False,0,False,False,0.22925635253343413,0.009268164001677522,0.0,False,400
False,0,False,False,0.3558248860398068,0.0018874456085294503,0.0,False,400
False,0,False,False,0.10408872899567145,0.0059108329318487765,0.0,False,400
False,0,False,False,0.22551406454916864,0.003141997798417244,0.0,False,400
False,0,False,False,0.1347724467389043,0.008461728735073311,0.0,False,400
False,0,False,False,0.23010154634303023,0.006734154887525621,0.0,False,400
False,0,False,False,0.39677236157000956,0.00573527364150464,0.0,False,400
False,0,False,False,0.05307602962641534,0.007229073037067567,0.0,False,400
False,0,False,False,0.27232234062248156,0.004522057152402464,0.0,False,400
False,0,False,False,0.12461073806198876,0.006232102589926564,0.0,False,400
False,0,False,False,0.053195582765707176,0.0400529813210748,0.0,False,400
False,0,False,False,0.24708915275001014,0.003937108552310276,0.0,False,400
False,0,False,False,0.30510347170569185,0.003309123674644293,0.0,False,400
False,0,False,False,0.06154923761035322,0.007789382706855155,0.0,False,400
False,0,False,False,0.18815753299268453,0.004143381890490709,0.0,False,400
False,0,False,False,0.21644049443732252,0.005055650331298718,0.0,False,400
False,0,False,False,0.06001846799281401,0.010463419165583047,0.0,False,400
False,0,False,False,0.2174984591448871,0.012367278315824497,0.0,False,400
False,0,False,False,0.08521632903274766,0.012817245064688317,0.0,False,400
False,0,False,False,0.3111644121010012,0.004061423311720414,0.0,False,400
False,0,False,False,0.3225280629664377,0.005579268504811143,0.0,False,400
False,0,False,False,0.05268203125174186,0.001069924866212565,0.0,False,400
False,0,False,False,0.16519410708599258,0.006179743936831917,0.0,False,400
False,0,False,False,0.1321931209027347,0.006094419469235292,0.0,False,400
False,0,False,False,0.2672198114244896,0.011113517557902923,0.0,False,400
False,0,False,False,0.2499775350624757,0.007829789379478532,0.0,False,400
False,0,False,False,0.21242686444685352,0.007739269786906603,0.0,False,400
False,0,False,False,0.16204052849787048,0.00997388358109217,0.0,False,400
False,0,False,False,0.1739381042812843,0.007716068879168396,0.0,False,400
False,0,False,False,0.0985098724911409,0.004996210139954486,0.0,False,400
False,0,False,False,0.24888322809033422,0.001684890006434175,0.0,False,400
False,0,False,False,0.2979416175603916,0.008779545374584518,0.0,False,400
False,0,False,False,0.31231530627878723,0.00388052219581716,0.0,False,400
False,0,False,False,0.08471072952179116,0.013788729704561251,0.0,False,400
False,0,False,False,0.2806705350208953,0.0018292928722607846,0.0,False,400
False,0,False,False,0.22721466500037285,0.005091301235669637,0.0,False,400
False,0,False,False,0.06752372203235166,0.0067037645640364305,0.0,False,400
False,0,False,False,0.15810014307474662,0.0020716665789845302,0.0,False,400
False,0,False,False,0.16263446329760173,0.002709173784734664,0.0,False,400
False,0,False,False,0.07948608664834998,0.003081436220400689,0.0,False,400
False,0,False,False,0.09713805157000685,0.009151172030575682,0.0,False,400
